ID,city,state_name,fun_fact,Unnamed: 0,city_ascii,state_id,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id,active_cities
0,New York,New York,"Known as the 'City That Never Sleeps' due to its vibrant nightlife New York is also home to the Statue of Liberty, a symbol of freedom and democracy.",0,New York,NY,36061,New York,40.6943,-73.9249,18713220,10715,polygon,False,True,America/New_York,1,11229 11226 11225 11224 11222 11221 11220 11385 10169 10168 10167 10165 10162 10282 10280 10040 10044 11109 11104 11105 11379 11378 11377 11697 11694 11692 11693 11691 10271 10279 10278 10075 10302 10301 10452 11451 10475 10474 10471 10470 10473 10472 11228 11223 10103 11368 11369 11366 11367 11364 11365 11362 11363 11360 11361 10028 10029 10026 10027 10024 10025 10022 10023 10020 10021 11212 11213 11210 11211 11216 11217 11214 11215 11218 11219 10152 10153 10154 10307 10306 10305 11429 10310 10311 10312 10314 11432 11433 11430 11436 11434 11435 10453 10451 10457 10456 10455 10454 10459 10458 10128 10004 10005 10006 10007 10001 10002 10003 10009 11238 11239 11230 11231 11232 11233 11234 11235 11236 11237 11375 11374 11371 11370 11373 11372 10170 10171 10172 10173 10174 10177 11351 10039 10038 10035 10034 10037 10036 10031 10030 10033 10032 11201 11208 11203 11205 11204 11207 11206 11209 11411 11412 11413 11414 11415 11416 11417 11418 11419 11101 11102 11103 11106 11001 11005 11004 10065 10069 10199 10309 10308 10304 10303 11428 11421 11420 11423 11422 11425 11424 11427 11426 10466 10467 10464 10465 10462 10463 10460 10461 10468 10469 10119 10115 10112 10110 10111 11359 11358 11357 11356 11355 11354 10019 10018 10013 10012 10011 10010 10017 10016 10014 10008 10041 10043 10055 10060 10080 10081 10087 10090 10101 10102 10104 10105 10106 10107 10108 10109 10113 10114 10116 10117 10118 10120 10121 10122 10123 10124 10125 10126 10129 10130 10131 10132 10133 10138 10150 10151 10155 10156 10157 10158 10159 10160 10163 10164 10166 10175 10176 10178 10179 10185 10203 10211 10212 10213 10242 10249 10256 10258 10259 10260 10261 10265 10268 10269 10270 10272 10273 10274 10275 10276 10277 10281 10285 10286 10313 11120 11202 11241 11242 11243 11245 11247 11249 11251 11252 11256 11352 11380 11381 11386 11405 11431 11437 11439 11499 11690 11695,1840034016,1
1,Los Angeles,California,"Home to Hollywood, the entertainment capital of the world Los Angeles has more than 75 miles of coastline, making it a prime location for beach lovers.",1,Los Angeles,CA,6037,Los Angeles,34.1139,-118.4068,12750807,3276,polygon,False,True,America/Los_Angeles,1,90291 90293 90292 91316 91311 90037 90031 90008 90004 90005 90006 90007 90001 90002 90003 90710 90089 91344 91345 91340 91342 91343 90035 90034 90036 90033 90032 90039 90247 90248 91436 91371 91605 91604 91607 91601 91602 90402 90068 90069 90062 90063 90061 90066 90067 90064 90065 91326 91324 91325 90013 90012 90011 90010 90017 90016 90015 90014 90019 90090 90095 90094 91042 91040 91411 91352 91356 90041 90042 90043 90044 90045 90046 90047 90048 90049 90018 91423 90210 91303 91304 91306 91307 90079 90071 90077 90059 91608 91606 91331 91330 91335 90026 90027 90024 90025 90023 90020 90021 90028 90029 90272 90732 90731 90230 91406 91405 91403 91402 91401 91367 91364 90038 90057 90058 90744 90501 90502 90009 90030 90050 90051 90053 90054 90055 90060 90070 90072 90074 90075 90076 90078 90080 90081 90082 90083 90084 90086 90087 90088 90093 90099 90134 90189 90213 90294 90295 90296 90733 90734 90748 91041 91043 91305 91308 91309 91313 91327 91328 91329 91333 91334 91337 91346 91353 91357 91365 91392 91393 91394 91395 91396 91404 91407 91408 91409 91410 91412 91413 91416 91426 91470 91482 91495 91496 91499 91603 91609 91610 91611 91612 91614 91615 91616 91617 91618,1840020491,1
2,Chicago,Illinois,"Chicago is home to the world’s first skyscraper, built in 1885 Chicago is also known for its deep-dish pizza, a must-try for foodies.",2,Chicago,IL,17031,Cook,41.8373,-87.6862,8604203,4574,polygon,False,True,America/Chicago,1,60018 60649 60641 60640 60643 60642 60645 60644 60647 60646 60616 60617 60614 60615 60612 60613 60610 60611 60618 60619 60827 60638 60639 60634 60636 60637 60630 60631 60632 60633 60605 60604 60607 60606 60601 60603 60602 60609 60608 60106 60661 60660 60659 60652 60653 60651 60656 60657 60654 60655 60623 60622 60621 60620 60626 60625 60624 60629 60628 60707 60499 60664 60666 60668 60669 60670 60673 60674 60675 60677 60678 60680 60681 60684 60685 60686 60687 60688 60689 60690 60694 60695 60696 60699,1840000494,1
3,Houston,Texas,"Houston is the largest city in Texas and a hub for the energy industry Houston is home to NASA’s Johnson Space Center, where space missions are controlled.",6,Houston,TX,48201,Harris,29.7863,-95.3889,5464251,1399,polygon,False,True,America/Chicago,1,77069 77068 77061 77060 77063 77062 77065 77064 77067 77066 77036 77037 77034 77035 77032 77033 77030 77031 77038 77449 77489 77046 77045 77044 77040 77048 77201 77598 77018 77019 77015 77016 77017 77010 77011 77012 77013 77091 77093 77099 77053 77346 77345 77546 77547 77025 77024 77027 77026 77021 77020 77023 77022 77029 77028 77094 77096 77090 77098 77078 77079 77072 77073 77070 77071 77076 77077 77074 77075 77407 77047 77043 77041 77336 77339 77338 77003 77002 77007 77006 77005 77004 77009 77008 77571 77450 77082 77089 77088 77083 77081 77080 77087 77086 77085 77084 77092 77042 77054 77055 77056 77057 77058 77059 77396 77051 77506 77504 77001 77052 77202 77203 77204 77205 77206 77207 77208 77209 77210 77212 77213 77215 77216 77217 77218 77219 77220 77221 77222 77223 77225 77226 77227 77228 77229 77230 77231 77233 77234 77235 77236 77237 77241 77242 77243 77244 77245 77248 77249 77251 77252 77253 77254 77255 77256 77257 77259 77261 77262 77263 77266 77269 77270 77271 77272 77273 77274 77275 77282 77284 77287 77288 77289 77291 77292 77293 77297 77299 77315 77325 77411,1840020925,0
4,Philadelphia,Pennsylvania,"Philadelphia is home to the Liberty Bell, a symbol of American independence Philadelphia is also known for its famous Philly cheesesteaks.",5,Philadelphia,PA,42101,Philadelphia,40.0077,-75.1339,5649300,4554,polygon,False,True,America/New_York,1,19154 19151 19150 19153 19152 19102 19103 19106 19107 19104 19109 19128 19129 19120 19121 19122 19123 19124 19125 19126 19127 19112 19111 19115 19114 19116 19119 19118 19148 19149 19146 19147 19144 19145 19142 19143 19140 19141 19139 19138 19137 19136 19135 19134 19133 19132 19131 19130 19019 19092 19093 19099 19101 19105 19108 19110 19155 19160 19161 19162 19170 19171 19172 19173 19175 19176 19177 19178 19179 19181 19182 19183 19184 19185 19187 19188 19190 19191 19192 19193 19194 19195 19196 19197 19244 19255,1840000673,0
5,Phoenix,Arizona,"Phoenix is one of the sunniest cities in the U.S., with over 300 sunny days each year Phoenix is also known for its desert botanical gardens, showcasing unique desert flora.",10,Phoenix,AZ,4013,Maricopa,33.5722,-112.0891,4219697,1253,polygon,False,True,America/Phoenix,1,85008 85009 85006 85007 85004 85083 85086 85087 85085 85383 85033 85304 85306 85308 85020 85021 85022 85023 85024 85027 85028 85029 85353 85019 85018 85013 85012 85015 85014 85017 85016 85254 85003 85044 85045 85042 85043 85040 85041 85048 85054 85037 85035 85034 85032 85031 85307 85310 85051 85050 85053 85001 85002 85005 85010 85011 85026 85030 85036 85038 85046 85060 85061 85062 85063 85064 85065 85066 85067 85068 85069 85070 85071 85072 85073 85074 85075 85076 85078 85079 85080 85082,1840020568,0
6,San Antonio,Texas,"San Antonio is famous for the Alamo, a historic site of the Texas Revolution San Antonio is home to the River Walk, a scenic area filled with shops and restaurants.",24,San Antonio,TX,48029,Bexar,29.4658,-98.5253,2049293,1231,polygon,False,True,America/Chicago,1,78112 78259 78258 78252 78251 78250 78257 78256 78255 78254 78208 78201 78202 78203 78204 78205 78207 78245 78231 78230 78233 78232 78235 78234 78237 78239 78238 78209 78109 78266 78260 78219 78218 78217 78216 78215 78214 78213 78212 78211 78210 78244 78247 78240 78242 78248 78249 78073 78023 78222 78223 78220 78221 78226 78227 78224 78225 78228 78229 78206 78241 78246 78265 78268 78269 78270 78278 78279 78280 78283 78284 78285 78288 78289 78291 78292 78293 78294 78295 78296 78297 78298 78299,1840022220,0
7,San Diego,California,"San Diego is home to the world-famous San Diego Zoo San Diego is also known for its year-round mild climate, perfect for outdoor activities.",14,San Diego,CA,6073,San Diego,32.8312,-117.1225,3220118,1686,polygon,False,True,America/Los_Angeles,1,92109 92108 92103 92111 92154 92110 92115 92140 92107 92106 92105 92104 92102 92071 92132 92130 92131 92134 92139 92025 92027 92147 92145 92014 92119 92117 92121 92120 92123 92122 92124 92127 92126 92129 92128 92101 92037 92173 92113 92114 92116 92038 92039 92072 92092 92093 92112 92137 92138 92142 92143 92149 92150 92152 92153 92158 92159 92160 92161 92163 92165 92166 92167 92168 92169 92170 92171 92172 92174 92175 92176 92177 92179 92182 92186 92187 92191 92192 92193 92195 92196 92197 92198 92199,1840021990,0
8,Dallas,Texas,"Dallas is known for its modern architecture, including the famous Dallas Cowboys stadium Dallas is also a major center for the arts, with a vibrant museum district.",4,Dallas,TX,48113,Dallas,32.7936,-96.7662,5743938,1526,polygon,False,True,America/Chicago,1,75287 75098 75233 75254 75251 75252 75253 75032 75238 75232 75230 75231 75236 75237 75234 75235 75088 75087 75243 75246 75244 75249 75248 75051 75166 75210 75211 75212 75214 75215 75216 75217 75218 75219 75390 75182 75229 75228 75220 75223 75225 75224 75227 75226 75241 75240 75247 75270 75043 75207 75206 75205 75204 75203 75202 75201 75209 75208 75019 75221 75222 75242 75250 75260 75262 75263 75264 75266 75267 75277 75283 75284 75285 75301 75303 75312 75313 75315 75320 75336 75339 75342 75354 75355 75356 75357 75358 75359 75360 75367 75370 75371 75372 75373 75374 75376 75378 75379 75380 75382 75389 75392 75393 75394 75395 75397 75398,1840019440,0
9,San Jose,California,"San Jose is the heart of Silicon Valley, home to many major tech companies San Jose is known for its tech industry and is home to the Computer History Museum.",28,San Jose,CA,6085,Santa Clara,37.3019,-121.8486,1798103,2218,polygon,False,True,America/Los_Angeles,1,95118 95128 95124 95125 95123 95008 95002 95117 95116 95111 95110 95113 95112 95119 95126 95127 95120 95121 95148 95133 95132 95131 95130 95136 95135 95134 95139 95138 95037 95013 95129 95122 95101 95103 95106 95109 95115 95141 95150 95151 95153 95154 95155 95156 95157 95158 95159 95160 95161 95164 95172 95173 95190 95191 95192 95193 95194 95196,1840021570,0
10,Austin,Texas,"Austin is the ‘Live Music Capital of the World’ due to its vibrant music scene Austin is also known for its food, particularly its BBQ and taco trucks.",31,Austin,TX,48453,Travis,30.3004,-97.7522,1687311,1181,polygon,False,True,America/Chicago,1,78749 78748 78741 78742 78745 78744 78747 78746 78717 78712 78719 78617 78739 78735 78730 78731 78732 78733 78705 78704 78701 78703 78702 78758 78759 78752 78753 78750 78751 78756 78757 78754 78652 78723 78722 78721 78727 78726 78725 78724 78729 78728 73301 73344 78651 78680 78708 78709 78710 78711 78713 78714 78715 78718 78720 78755 78760 78761 78762 78763 78765 78766 78767 78768 78772 78773 78774 78778 78779 78783 78799,1840019590,0
11,Jacksonville,Florida,"Jacksonville is the largest city by area in the U.S Jacksonville boasts 22 miles of beaches, making it a paradise for beach lovers.",42,Jacksonville,FL,12031,Duval,30.3322,-81.6749,1181496,470,polygon,False,True,America/New_York,1,32224 32225 32226 32227 32220 32221 32222 32223 32228 32219 32218 32217 32216 32211 32210 32212 32246 32244 32233 32234 32209 32205 32202 32250 32254 32257 32256 32208 32206 32207 32258 32277 32204 32099 32201 32203 32214 32229 32231 32232 32235 32236 32238 32239 32241 32245 32247 32255,1840015031,0
12,San Francisco,California,San Francisco is famous for the Golden Gate Bridge San Francisco is also known for its diverse neighborhoods and famous cable cars.,12,San Francisco,CA,6075,San Francisco,37.7562,-122.443,3592294,7256,polygon,False,True,America/Los_Angeles,1,94130 94131 94132 94133 94134 94109 94108 94103 94102 94105 94104 94158 94127 94124 94123 94122 94121 94129 94118 94110 94112 94116 94117 94114 94115 94111 94107 94119 94120 94125 94126 94137 94139 94140 94141 94142 94143 94144 94145 94146 94147 94151 94159 94160 94161 94163 94164 94172 94177 94188,1840021543,0
13,Indianapolis,Indiana,Indianapolis hosts the famous Indianapolis 500 car race every year Indianapolis is also home to the largest children's museum in the world.,35,Indianapolis,IN,18097,Marion,39.7771,-86.1458,1588961,935,polygon,False,True,America/Indiana/Indianapolis,1,46218 46219 46217 46214 46260 46268 46224 46228 46183 46231 46234 46235 46236 46237 46239 46250 46208 46201 46203 46202 46205 46204 46256 46254 46259 46227 46226 46225 46222 46221 46220 46229 46113 46278 46241 46240 46206 46207 46209 46230 46242 46244 46247 46251 46253 46255 46262 46277 46282 46283 46285 46288 46298,1840030084,0
14,Columbus,Ohio,"Columbus is home to the Ohio State University, one of the largest universities in the U.S Columbus is also known for its diverse culinary scene and historic architecture.",36,Columbus,OH,39049,Franklin,39.9862,-82.985,1562009,1582,polygon,False,True,America/New_York,1,43026 43109 43054 43220 43221 43222 43223 43224 43081 43228 43227 43211 43213 43212 43215 43214 43217 43219 43002 43004 43068 43085 43240 43229 43235 43232 43231 43230 43119 43110 43017 43016 43137 43210 43202 43203 43201 43206 43207 43204 43205 43209 43218 43236 43251 43260 43266 43268 43270 43271 43272 43279 43287 43291,1840003760,0
15,Fort Worth,Texas,"Fort Worth is known for its historic Stockyards, showcasing cowboy culture Fort Worth also has a thriving arts district, including the renowned Kimbell Art Museum.",53,Fort Worth,TX,48439,Tarrant,32.7811,-97.3473,909585,1016,polygon,False,True,America/Chicago,2,76164 76040 76134 76135 76137 76131 76132 76133 76109 76108 76105 76104 76107 76106 76103 76102 76155 76006 76053 76052 76129 76123 76120 76244 76008 76179 76177 76036 76140 76262 76118 76119 76116 76117 76114 76115 76112 76110 76111 76127 76126 76101 76113 76121 76122 76124 76130 76147 76150 76161 76162 76163 76166 76190 76191 76193 76195 76196 76197 76198 76199,1840020696,0
16,Charlotte,North Carolina,Charlotte is known as the second-largest banking hub in the U.S Charlotte is also famous for its NASCAR Hall of Fame and speedway.,37,Charlotte,NC,37119,Mecklenburg,35.208,-80.8304,1512923,1113,polygon,False,True,America/New_York,1,28269 28262 28105 28280 28282 28209 28208 28205 28204 28207 28206 28203 28202 28227 28226 28278 28270 28273 28277 28134 28216 28217 28214 28215 28212 28213 28210 28211 28244 28126 28130 28201 28218 28219 28220 28221 28222 28223 28224 28228 28229 28230 28231 28232 28233 28234 28235 28237 28241 28242 28243 28246 28247 28253 28254 28255 28256 28258 28260 28263 28265 28266 28271 28272 28274 28275 28281 28284 28285 28287 28288 28289 28290 28296 28297 28299,1840014557,0
